episode:1,Updates:1/78,Timesteps:51200/2000000,FPS:894.0,avg_sp:3.9375,avg_xp_0_0:16.265625,avg_xp_0_1:5.34375,avg_mp:141.63784461152883,value_loss:2.2888412795960904,policy_loss:0.006700808828273108,dist_entropy:7.120262479782104,actor_grad_norm:0.11024345345795154,critic_grad_norm:6.187492008507252,ratio:4.001424717903137,best_i:0,average_step_rewards:0.009843749925494194
episode:2,Updates:2/78,Timesteps:76800/2000000,FPS:757.0,avg_sp:5.171875,avg_xp_0_0:5.84375,avg_xp_0_1:7.6875,avg_mp:142.4047619047619,value_loss:2.6321755811572074,policy_loss:0.004290116959171517,dist_entropy:7.15470722913742,actor_grad_norm:0.017795614525675775,critic_grad_norm:0.6824880277737975,ratio:3.9993542671203612,best_i:0,average_step_rewards:0.012929687276482582
episode:3,Updates:3/78,Timesteps:102400/2000000,FPS:704.0,avg_sp:7.546875,avg_xp_0_0:7.8125,avg_xp_0_1:8.875,avg_mp:148.78947368421052,value_loss:1.2690136708319186,policy_loss:0.0028828629378162525,dist_entropy:7.092065870761871,actor_grad_norm:0.042520193941891195,critic_grad_norm:0.477956776227802,ratio:3.9992528438568113,best_i:0,average_step_rewards:0.018867187201976776
episode:4,Updates:4/78,Timesteps:128000/2000000,FPS:675.0,avg_sp:12.09375,avg_xp_0_0:7.34375,avg_xp_0_1:5.84375,avg_mp:166.98997493734336,value_loss:1.9863622218370438,policy_loss:0.0008109161399688869,dist_entropy:7.07329431772232,actor_grad_norm:0.04351510722190142,critic_grad_norm:0.5706822472624481,ratio:3.998855894804001,best_i:0,average_step_rewards:0.03023437410593033
episode:5,Updates:5/78,Timesteps:153600/2000000,FPS:657.0,avg_sp:16.234375,avg_xp_0_0:3.109375,avg_xp_0_1:5.8125,avg_mp:192.61654135338347,value_loss:2.553136345744133,policy_loss:0.014190789879268185,dist_entropy:6.982323813438415,actor_grad_norm:0.04973009042441845,critic_grad_norm:0.6099197821691632,ratio:3.999625539779663,best_i:0,average_step_rewards:0.04058593884110451
episode:6,Updates:6/78,Timesteps:179200/2000000,FPS:644.0,avg_sp:38.546875,avg_xp_0_0:0.34375,avg_xp_0_1:4.6875,avg_mp:215.90977443609023,value_loss:3.015473309904337,policy_loss:0.033631020952907244,dist_entropy:6.903819453716278,actor_grad_norm:0.06281499490141869,critic_grad_norm:0.7815196212381125,ratio:3.9994559049606324,best_i:0,average_step_rewards:0.09636718779802322
episode:7,Updates:7/78,Timesteps:204800/2000000,FPS:636.0,avg_sp:33.0625,avg_xp_0_0:0.53125,avg_xp_0_1:5.375,avg_mp:234.66791979949875,value_loss:4.4954980668146165,policy_loss:0.09558264284678471,dist_entropy:6.782611989974976,actor_grad_norm:0.08221802078187465,critic_grad_norm:1.0912007769569754,ratio:3.998611128330231,best_i:0,average_step_rewards:0.08265624940395355
episode:8,Updates:8/78,Timesteps:230400/2000000,FPS:630.0,avg_sp:46.921875,avg_xp_0_0:0.0,avg_xp_0_1:3.78125,avg_mp:242.46491228070175,value_loss:3.8677969021722673,policy_loss:0.05410302831594427,dist_entropy:6.670703315734864,actor_grad_norm:0.07380583323538303,critic_grad_norm:1.246250245720148,ratio:4.000267112255097,best_i:0,average_step_rewards:0.11730469018220901
episode:9,Updates:9/78,Timesteps:256000/2000000,FPS:625.0,avg_sp:55.125,avg_xp_0_0:0.046875,avg_xp_0_1:3.65625,avg_mp:260.203007518797,value_loss:3.9215971853584053,policy_loss:0.11204507541994771,dist_entropy:6.58830441236496,actor_grad_norm:0.0544573824852705,critic_grad_norm:1.748183584213257,ratio:3.9980244874954223,best_i:0,average_step_rewards:0.13781249523162842
episode:10,Updates:10/78,Timesteps:281600/2000000,FPS:621.0,avg_sp:82.78125,avg_xp_0_0:0.0,avg_xp_0_1:5.375,avg_mp:262.6140350877193,value_loss:3.8736078013665973,policy_loss:0.1555858422554732,dist_entropy:6.480077147483826,actor_grad_norm:0.1281678058207035,critic_grad_norm:1.8507911414839326,ratio:3.999126833677292,best_i:0,average_step_rewards:0.20695312321186066
episode:11,Updates:11/78,Timesteps:307200/2000000,FPS:618.0,avg_sp:120.96875,avg_xp_0_0:0.09375,avg_xp_0_1:4.1875,avg_mp:272.8358395989975,value_loss:4.263084348943084,policy_loss:0.14088014988080122,dist_entropy:6.403104174137115,actor_grad_norm:0.12336916141211987,critic_grad_norm:2.322193294763565,ratio:3.999492847919464,best_i:0,average_step_rewards:0.3024218678474426
episode:12,Updates:12/78,Timesteps:332800/2000000,FPS:615.0,avg_sp:138.078125,avg_xp_0_0:0.0,avg_xp_0_1:3.25,avg_mp:280.4761904761905,value_loss:4.545807448541746,policy_loss:0.12228763901041631,dist_entropy:6.326158106327057,actor_grad_norm:0.0746997706592083,critic_grad_norm:2.33897494180128,ratio:3.9985555768013,best_i:0,average_step_rewards:0.34519532322883606
